,index,Country Name,Growth,GDP Per Capita
52,28,China,994.50664836341,10500.3956159637
48,130,Romania,676.9160352014187,12896.0886211622
35,93,Lithuania,507.23340476458867,19997.5925262112
31,48,Estonia,471.9441672851698,23312.2763272181
54,131,Russian Federation,471.6163780156715,10126.7217935297
38,95,Latvia,424.7803065675698,17619.9523907399
32,38,Czech Republic,277.54275904299357,22762.1971366777
36,143,Slovak Republic,253.89537358309178,19156.8896116995
41,125,Poland,247.8027876408038,15656.1827308666
40,69,Hungary,243.81876927132677,15899.1482797158
2,72,Ireland,219.3334751326052,83812.8029661508
50,36,Costa Rica,218.7290249974042,12076.8145138494
19,119,New Zealand,206.36667689044717,41791.79308952
49,121,Panama,202.16967292924707,12269.0489963771
46,67,Croatia,185.6173846536835,13828.469504884599
26,103,Malta,167.2906997226582,27884.642827425097
47,27,Chile,160.72823870566012,13231.7042069383
53,111,Malaysia,157.23692136413408,10401.7940137994
24,86,"Korea, Rep.",156.90739350353294,31489.1226973168
6,137,Singapore,150.69986718035895,59797.7521801188
30,144,Slovenia,146.82793803532195,25179.667172293597
43,153,Trinidad and Tobago,139.06322625361258,15384.0394609875
10,5,Australia,138.99424193135567,51812.154037398795
0,94,Luxembourg,137.75774242423964,115873.60263020301
42,160,Uruguay,124.55788322968,15438.4116657291
1,26,Switzerland,122.32871322389131,86601.5564126289
34,134,Saudi Arabia,119.27368173673551,20110.3161923744
17,76,Israel,106.67337144577549,43610.5203308148
12,50,Finland,101.93699638969301,49041.3422565659
8,116,Netherlands,100.02002044556156,52304.0573851896
22,126,Puerto Rico,99.42359142812987,32290.9211360931
5,42,Denmark,98.1190842569154,60908.8351349442
13,6,Austria,95.83319952528859,48105.3646248411
33,127,Portugal,95.1674903375382,22439.8768739626
16,9,Belgium,93.53909638386038,44594.3781075628
15,39,Germany,93.44974203287724,45723.644103932806
29,37,Cyprus,85.03723136569083,26623.8008913181
7,75,Iceland,84.634221760611,59260.887138168204
28,47,Spain,83.89888311730766,27057.163515123902
39,85,St. Kitts and Nevis,82.2707373083871,17435.9274299115
14,65,"Hong Kong SAR, China",79.8519553662702,46323.8634424384
18,25,Canada,78.16165038357883,43241.6178282827
3,117,Norway,76.48019745185131,67294.47697866929
9,145,Sweden,75.27718758037057,51925.71375963849
4,161,United States,74.88299799680269,63543.577788724004
21,52,France,72.7106806358079,38625.0673845578
11,129,Qatar,69.48618711798031,50805.463567753206
23,77,Italy,57.69038977395464,31676.202098734902
27,21,Brunei Darussalam,52.48486492456222,27466.3396414199
51,147,Seychelles,50.74966969758328,11425.0929292519
37,61,Greece,46.77622198544156,17676.1924769339
20,54,United Kingdom,43.07520903849866,40284.6384553276
44,20,Barbados,34.81183652229161,15191.1640353411
45,4,Antigua and Barbuda,32.90661486824531,14449.9965204973
25,14,"Bahamas, The",5.571394004751329,28607.901375213598
